Product Name,Part Number,Secondary Part,Part Description,Part Type,Labor Tier,Part Currency,Pricing Option,Price,EEE Code,Substitute Part,Component Group,Serialized Module
"OBS, iPhone 5s",011-00242,,"SVC,DROP OFF REPAIR TRACKING",Service Intangible,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",011-00242,,"SVC,DROP OFF REPAIR TRACKING",Service Intangible,,USD,Stocking Price ,0,,,,N
"OBS, iPhone 5s",011-00254,,"SVC,SNR,IPHONE",Service Intangible,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",011-00254,,"SVC,SNR,IPHONE",Service Intangible,,USD,Stocking Price ,1,,,,N
"OBS, iPhone 5s",011-0656,,"SVC, HARDWARE TEST 1",Service Intangible,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",011-0656,,"SVC, HARDWARE TEST 1",Service Intangible,,USD,Stocking Price ,0,,,,N
"OBS, iPhone 5s",011-0657,,"SVC, HARDWARE TEST 2",Service Intangible,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",011-0657,,"SVC, HARDWARE TEST 2",Service Intangible,,USD,Stocking Price ,0,,,,N
"OBS, iPhone 5s",011-0659,,"IPHONE,MICRO-INSPECTION 1",Service Intangible,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",011-0659,,"IPHONE,MICRO-INSPECTION 1",Service Intangible,,USD,Stocking Price ,0,,,,N
"OBS, iPhone 5s",652-00034,,"1M, Lightning to USB Cable, 25PK, AC",Other,CON2,USD,Exchange Price,0,,,B,N
"OBS, iPhone 5s",652-00034,,"1M, Lightning to USB Cable, 25PK, AC",Other,CON2,USD,Stocking Price ,380,,,B,N
"OBS, iPhone 5s",652-00082,,"Duckhead, 661-03066, 5PK",Other,,USD,Exchange Price,0,,,1,N
"OBS, iPhone 5s",652-00082,,"Duckhead, 661-03066, 5PK",Other,,USD,Stocking Price ,68,,,1,N
"OBS, iPhone 5s",652-00083,,"Duckhead, 661-03066, 25PK",Other,,USD,Exchange Price,0,,,1,N
"OBS, iPhone 5s",652-00083,,"Duckhead, 661-03066, 25PK",Other,,USD,Stocking Price ,79,,,1,N
"OBS, iPhone 5s",652-00355,,"USB-C to Lightning Cable, 25 Pack 923-03889",Other,,USD,Exchange Price,0,,652-00431,,N
"OBS, iPhone 5s",652-00355,,"USB-C to Lightning Cable, 25 Pack 923-03889",Other,,USD,Stocking Price ,380,,652-00431,,N
"OBS, iPhone 5s",652-00431,,"USB-C to Lightning Cable, 25 Pack 923-06931",Other,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",652-00431,,"USB-C to Lightning Cable, 25 Pack 923-06931",Other,,USD,Stocking Price ,380,,,,N
"OBS, iPhone 5s",652-0993,,"Tool, SIM Removal, iPhone, 922-8417, 25PK",Other,,USD,Exchange Price,0,,,,N
"OBS, iPhone 5s",652-0993,,"Tool, SIM Removal, iPhone, 922-8417, 25PK",Other,,USD,Stocking Price ,110,,,,N
"OBS, iPhone 5s",661-03066,,Duckhead Adapter,Module,CON2,USD,Exchange Price,8.1,,,1,N
"OBS, iPhone 5s",661-03066,,Duckhead Adapter,Module,CON2,USD,Stocking Price ,9.9,,,1,N
"OBS, iPhone 5s",661-4954,,5W USB Power Adapter,Module,CON2,USD,Exchange Price,14.4,FKHC;8QY;DHLH;8QZ;G8MC;BY88;G8MD;G8MG;G8MF;59T;75N;FKH6;F539;DY88;GNND;GNRC;H9V7;H9TJ;H9TH;H9TK;H9TL,,B,N
"OBS, iPhone 5s",661-4954,,5W USB Power Adapter,Module,CON2,USD,Stocking Price ,17.1,FKHC;8QY;DHLH;8QZ;G8MC;BY88;G8MD;G8MG;G8MF;59T;75N;FKH6;F539;DY88;GNND;GNRC;H9V7;H9TJ;H9TH;H9TK;H9TL,,B,N
"OBS, iPhone 5s",922-5065,,"Stick, Flat Head, Nylon, 4 Pack",Other,LAB1,USD,Exchange Price,0,,,,N
