"Transfer Received Date";"From Stock";"To Stock";"Product Code";"Product Name";"Transfer Quantity";"Serial Number";"IMEI Number";"Transfer Value"
"2026-06-08";"VER_Repair";"VER_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y5286C0GP13RHCF";"";"46.00"
"2026-06-08";"VER_Repair";"VER_MSPI-Owned";"661-22309";"Display, iPhone 13 Pro Max";"1";"G9P5351M04HPQCLA3";"";"0.00"
"2026-06-08";"VER_Repair";"VER_MSPI-Owned";"661-21988";"Display, iPhone 13";"1";"G9P5254C79ZPR5QA6";"";"0.00"
"2026-02-13";"POD_Repair";"POD_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y5447C5Q318FKB7";"";"46.00"
"2026-02-13";"POD_Repair";"POD_MSPI-Owned";"661-22374";"Battery, iPhone 13 mini";"1";"F8Y5372C4PS14LWCU";"";"46.00"
"2026-02-13";"POD_Repair";"POD_MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y5475CB1D13RHCT";"";"46.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05755";"Battery, iPhone 7 Plus";"1";"F8Y416202VFH86CBA";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05755";"Battery, iPhone 7 Plus";"1";"F8Y3097B3S3H86CBM";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05755";"Battery, iPhone 7 Plus";"1";"F8Y3097B3D2H86CBT";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05755";"Battery, iPhone 7 Plus";"1";"F8Y3097B2KAH86CB2";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05421";"BATTERY IPHONE 7";"1";"F5D308320AFH885BM";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05421";"BATTERY IPHONE 7";"1";"F5D30276A7DH885BQ";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05421";"BATTERY IPHONE 7";"1";"F5D30276669H885B1";"";"69.00"
"2026-02-12";"GL5_MSPI-Owned";"NES_MSPI-Owned";"661-05421";"BATTERY IPHONE 7";"1";"F5D219641WFH885BJ";"";"69.00"
"2026-02-01";"NPM-Repair";"NPM-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y5506CQFC18FKBJ";"";"46.00"
"2026-02-01";"NPM-Repair";"NPM-MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y5497C4RK13RHCG";"";"46.00"
"2026-02-03";"ZAM-Repair";"ZAM-MSPI-Owned";"661-21988";"Display, iPhone 13";"1";"GVH52340B4SPR5PAD";"";"0.00"
"2026-02-03";"ZAM-Repair";"ZAM-MSPI-Owned";"661-22309";"Display, iPhone 13 Pro Max";"1";"G9P5352MARWPQCLAJ";"";"0.00"
"2026-02-03";"POD_Repair";"POD_MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y5506CJ2118FKB6";"";"46.00"
"2026-02-03";"NPM-Repair";"NPM-MSPI-Owned";"661-21996";"Battery, iPhone 13 Pro";"1";"F8Y5502C2YX13RHCG";"";"46.00"
"2026-02-04";"ILO-Repair";"ILO-MSPI-Owned";"661-21988";"Display, iPhone 13";"1";"GVH516413YNPR5PAY";"";"0.00"
"2026-02-08";"GL5_MSPI-Owned";"GL5_Repair";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y5515CAES13XCBH";"";"46.00"
"2026-02-09";"POD_Repair";"POD_MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y5451C38213XCBR";"";"46.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-36918";"Battery, iPhone 15 Pro Max";"1";"FG9HNR007KW00006TT";"";"99.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-35694";"Battery, iPhone 15 Pro";"1";"F8YHN4C0DH300006TP";"";"99.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-30382";"Battery, iPhone 14 Pro";"1";"F8Y5473C128217WBG";"";"99.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y5496C2M713XCBZ";"";"89.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-22294";"Battery, iPhone 13 Pro Max";"1";"F8Y5496C5CJ13XCBC";"";"89.00"
"2026-02-13";"DC_MSPI-Owned";"ANX-MSPI-Owned";"661-21991";"Battery, iPhone 13";"1";"F8Y5506CDCC18FKB4";"";"89.00"
