Custom reports - GSX KBB / KGBs Used,,,,,,,,,
Order id,Location Name,GSX Repair Number,GSX Repair Strategy,Current GSX Status,Repair Closed Date,Product Code,Product Description,Product KGB,Product KBB
20062784,MOBILECARE - GLORIETTA 5,G712090089,CIN,SPCM,6/12/2026,ZP661-28885,"Silver, iPad 10th generation, 64GB, Wi-Fi, ITP",K0MY6JLF4N,DHGJ0NJ504
20056477,MOBILECARE - GLORIETTA 5,G709596193,CIN,SPCM,5/11/2026,Z661-43102,"AirPods 4, Right, CI/AR, CN, INT",GN1HQB0837M0000B32,
20055406,MOBILECARE - GLORIETTA 5,G708611607,CIN,SPCM,4/11/2026,661-36918,"Battery, iPhone 15 Pro Max",FG9HP7003DJ00006TT,F5DGYK0033K00006TU
20054338,MOBILECARE - GLORIETTA 5,G690356932,CIN,SPCM,4/5/2026,661-56050,"Display, iPhone 17 Pro Max",GH3HPY00KQV0000MUZ,GH3HKU01FNB0000MUZ
20047553,MOBILECARE - GLORIETTA 5,G705425629,CIN,SPCM,3/27/2026,661-40169,"Logic Board, 8-core CPU, 8-core GPU, 8 GB, 256 GB",C02HNC000010000FJV,C02H8C00CKD0000FJV
20047553,MOBILECARE - GLORIETTA 5,G705425629,CIN,SPCM,3/27/2026,661-40218,"Display, Silver",GMG5454001X1J87AP,F0Y427601VK1J87AV
20047612,MOBILECARE - GLORIETTA 5,G704607819,CIN,SCOM,3/6/2026,Z661-35418,"AirPods Pro 2nd gen USB-C, Case, CI/AR, INT",M4C0WVDJK4,L29P2GM2JD
20036869,MOBILECARE - GLORIETTA 5,G702154797,CIN,SPCM,2/21/2026,661-16806,"Display Assembly, Space Gray",GMG544700XQNR89B1,GMG337402FBNR8DBP
20040047,MOBILECARE - GLORIETTA 5,G701291855,CIN,SPCM,2/5/2026,661-21991,"Battery, iPhone 13",F8Y5506CF3B18FKBW,FG914160ZF518FN58
20037747,MOBILECARE - GLORIETTA 5,G700065245,CIN,SPCM,2/10/2026,ZA661-41635,"SVC,APPLE PENCIL PRO-ITS",G1CMQ944TG,FNV7QW2V3R
20033067,MOBILECARE - GLORIETTA 5,G698996943,CIN,GX02,1/23/2026,661-40219,"Display, Starlight",GMG545302701J88A0,F0Y436400CB1J88AQ
20033771,MOBILECARE - GLORIETTA 5,G698172583,CIN,SPCM,1/11/2026,661-18428,"Battery, iPhone 12 Pro Max",F8Y5437C5CKQ4C2BR,F5D12721167Q4C0AW
20032779,MOBILECARE - GLORIETTA 5,G698169993,CIN,SPCM,1/16/2026,661-21991,"Battery, iPhone 13",F8Y5426C80S18FKBS,FG921742Z6318FMA1
20032477,MOBILECARE - GLORIETTA 5,G698141519,CIN,SPCM,1/27/2026,661-36918,"Battery, iPhone 15 Pro Max",FG9HNL005ZF00006TT,F5DH0C01RVZ00006TU
20032869,MOBILECARE - GLORIETTA 5,G698137575,CIN,SPCM,1/27/2026,PP661-22985,"Midnight, 256 GB, iPhone 13, ROW, CI/AR, Philippines",CQY92FWQY4,P7F65CFQF3
20032584,MOBILECARE - GLORIETTA 5,G698052277,CIN,SPCM,1/14/2026,661-22309,"Display, iPhone 13 Pro Max",G9P5347MN81PQCLAG,G9N2204MJA7PQCLA0
20033007,MOBILECARE - GLORIETTA 5,G682024744,CIN,SPCM,1/16/2026,661-21991,"Battery, iPhone 13",F8Y5434C8VG18FKBG,FG922840PVB18FMA4
20033245,MOBILECARE - GLORIETTA 5,G698043391,CIN,SPCM,1/19/2026,661-36913,"Natural Titanium, Millimeter Wave, Back Glass, iPhone 15 Pro Max",DRCHH5000J6000023W,DRCGX6004RJ000023W
20032886,MOBILECARE - GLORIETTA 5,G698035737,CIN,SPCM,1/26/2026,661-43188,"AirPods Max USB-C, Set, Starlight",MF37G9NKCX,LRWN9PKQVK
